house_room,house,house_area,total_price,unit_price
2室1厅,紫气钟山 ,63.73,220.0,34521.0
3室2厅,武夷绿洲品茗苑 ,128.61,345.0,26826.0
4室2厅,万达江南明珠 ,129.63,385.0,29700.0
3室2厅,颐和南园 ,171.72,420.0,24459.0
2室2厅,威尼斯水城第四街区 ,92.74,208.0,22429.0
3室1厅,凤凰西街269-275号 ,72.85,238.0,32670.0
2室1厅,东升村 ,85.03,288.0,33871.0
3室2厅,天润城第十三街区 ,86.64,192.0,22161.0
3室2厅,东郊小镇第一街区 ,107.33,198.0,18448.0
3室2厅,翠屏湾花园城 ,132.99,318.0,23912.0
3室1厅,文安里小区北区 ,69.99,185.0,26433.0
5室2厅,翠屏东南 ,183.86,458.0,24911.0
3室2厅,水月秦淮 ,135.67,330.0,24324.0
2室2厅,市政天元城 ,94.53,270.0,28563.0
2室2厅,金基月亮湾 ,89.36,365.0,40847.0
4室2厅,天润城第九街区 ,144.88,315.0,21743.0
3室2厅,莫愁花园牡丹里 ,144.15,440.0,30524.0
3室2厅,明月港湾翠堤湾 ,105.32,275.0,26111.0
2室2厅,和燕花苑 ,78.27,199.0,25425.0
3室2厅,御林山庄 ,109.17,305.0,27939.0
4室2厅,阅城国际花园怡然园 ,149.7,615.0,41083.0
3室2厅,真园 ,65.26,195.0,29881.0
4室2厅,南京恒大绿洲 ,147.66,408.0,27632.0
3室1厅,华隆新寓一村 ,87.94,290.0,32978.0
2室2厅,随园 ,71.67,236.0,32929.0
3室2厅,百家湖西花园伦敦城 ,98.27,266.0,27069.0
3室1厅,典雅居 ,92.8,350.0,37716.0
2室2厅,金基汇锦国际 ,49.79,280.0,56237.0
3室2厅,金城丽景南区 ,122.68,300.0,24454.0
3室1厅,新河一村 ,99.35,420.0,42275.0
2室1厅,银城花园北片 ,63.56,295.0,46413.0
2室1厅,四方新村七村 ,49.48,139.0,28093.0
2室1厅,日光广场 ,73.55,155.0,21075.0
2室2厅,阳光之旅 ,93.8,190.0,20256.0
2室2厅,威尼斯水城第十街区 ,84.7,190.0,22433.0
2室1厅,小火瓦巷 ,78.7,340.0,43203.0
2室1厅,王府园小区 ,46.33,166.0,35830.0
3室1厅,阳光里 ,76.59,225.0,29378.0
3室2厅,东郊小镇第二街区 ,91.14,177.0,19421.0
2室1厅,马府新村 ,57.21,180.0,31464.0
2室1厅,海宇公寓 ,61.22,210.0,34303.0
2室2厅,莱茵东郡 ,95.99,250.0,26045.0
2室1厅,场门口小区14号 ,49.28,183.0,37135.0
2室2厅,万科金色里程 ,72.26,225.0,31138.0
3室2厅,迎春苑 ,92.25,275.0,29811.0
2室2厅,大地伊丽雅特湾 ,81.84,259.0,31648.0
2室2厅,威尼斯水城第七街区 ,87.54,198.0,22619.0
2室2厅,湖景花园 ,113.47,420.0,37015.0
3室2厅,阅城国际花园悠然园 ,116.57,465.0,39891.0
2室1厅,百合果园 ,95.03,410.0,43145.0
2室2厅,东郊小镇第三街区 ,78.81,168.0,21318.0
3室2厅,天润城第十四街区 ,86.23,218.0,25282.0
2室2厅,阳光之旅 ,69.86,152.0,21758.0
2室1厅,菊花新村三村 ,58.19,150.0,25778.0
2室1厅,清河新寓一村 ,59.95,420.0,70059.0
2室2厅,威尼斯水城第七街区 ,87.54,198.0,22619.0
3室2厅,太平洋大厦 ,120.12,340.0,28306.0
2室1厅,爱达花园兰花园 ,63.96,176.0,27518.0
2室2厅,华保新寓 ,64.5,238.0,36900.0
3室2厅,天润城第十街区 ,125.8,270.0,21463.0
4室2厅,天地新城天柱座 ,150.25,420.0,27954.0
3室2厅,威尼斯水城第一街区 ,114.38,245.0,21420.0
3室2厅,旭日爱上城第三区 ,88.3,230.0,26048.0
4室2厅,西苑阳光翠庭 ,106.82,230.0,21532.0
3室1厅,棉鞋营小区 ,67.44,230.0,34105.0
2室2厅,天润城第九街区 ,81.68,188.0,23017.0
2室1厅,墨香山庄 ,77.46,215.0,27757.0
3室2厅,月安花园揽月居 ,138.06,540.0,39114.0
3室2厅,中和园 ,88.26,323.0,36597.0
3室1厅,万达西地一期 ,117.97,440.0,37298.0
2室2厅,钟山山庄 ,75.99,208.0,27373.0
3室2厅,金马郦城西区 ,128.0,545.0,42579.0
4室1厅,王府国际花园 ,151.04,710.0,47008.0
3室1厅,新河二村 ,68.3,285.0,41728.0
2室1厅,辰龙绿苑西苑 ,78.87,480.0,60860.0
2室1厅,银城花园北片 ,50.46,249.0,49347.0
3室2厅,天润城第十街区 ,90.38,210.0,23236.0
2室1厅,新城市广场 ,58.31,290.0,49735.0
3室2厅,胜泰新寓 ,125.84,268.0,21297.0
2室2厅,阳光之旅 ,93.85,188.0,20032.0
3室1厅,春江新城沁顺坊 ,84.79,218.0,25711.0
3室2厅,新城市广场 ,57.9,305.0,52678.0
3室1厅,云谷山庄 ,88.98,265.0,29782.0
2室2厅,东渡国际青年城 ,77.73,216.0,27789.0
2室1厅,雨花新村四村 ,44.9,120.0,26727.0
2室1厅,雨花新村四村 ,44.9,120.0,26727.0
2室2厅,大华锦绣华城香榭美颂 ,89.47,225.0,25149.0
2室2厅,宇秦园 ,79.67,243.0,30501.0
3室1厅,土壤研究所 ,88.69,575.0,64833.0
2室2厅,银城东苑毓秀苑 ,95.82,390.0,40702.0
3室1厅,武夷绿洲观竹苑 ,100.2,280.0,27945.0
3室1厅,高教新村 ,95.86,345.0,35990.0
2室1厅,明月港湾月亮湾 ,71.77,210.0,29261.0
3室2厅,南京恒大绿洲 ,149.15,390.0,26149.0
5室2厅,枫丹白露水秀花园 ,185.14,820.0,44291.0
5室2厅,世茂滨江新城 ,305.0,1100.0,36066.0
2室1厅,达美广场 ,106.02,320.0,30183.0
2室1厅,经纬城市花园小区 ,63.3,184.0,29068.0
2室2厅,华汇康城 ,84.16,183.0,21745.0
2室1厅,雨花西路 ,73.21,230.0,31417.0
3室2厅,明发滨江新城一期 ,124.23,260.0,20929.0
2室1厅,虹苑新寓一村 ,55.51,157.0,28284.0
3室2厅,雯锦雅苑 ,117.98,345.0,29243.0
3室1厅,樱铁村小区 ,72.07,175.0,24282.0
3室2厅,诚品城 ,99.02,293.0,29590.0
4室2厅,明发滨江新城三期 ,138.01,283.0,20506.0
3室2厅,华汇康城 ,126.0,245.0,19445.0
3室2厅,清江花苑明月园 ,96.97,449.0,46303.0
2室2厅,武夷绿洲观竹苑 ,68.52,196.0,28605.0
3室2厅,挪威森林 ,119.81,326.0,27210.0
3室1厅,长虹路310号 ,68.28,165.0,24166.0
2室1厅,铁路南街 ,62.04,168.0,27080.0
2室1厅,莫愁新寓荷花里 ,48.63,170.0,34958.0
2室1厅,金陵村 ,67.89,168.0,24746.0
3室2厅,华意泰富花苑 ,120.51,309.0,25642.0
2室1厅,凤凰西街229号 ,57.23,169.0,29530.0
3室2厅,春光里 ,86.86,258.0,29703.0
3室2厅,奥体新城翠杉园 ,116.06,590.0,50836.0
2室1厅,武夷绿洲赏桂苑 ,78.6,210.0,26718.0
2室1厅,铁路南街 ,62.04,168.0,27080.0
2室1厅,莫愁花园牡丹里 ,55.52,182.0,32781.0
2室1厅,营苑西村 ,65.45,165.0,25211.0
1室1厅,南方花园B组团 ,42.12,115.0,27303.0
2室1厅,贡园 ,60.84,175.0,28764.0
2室1厅,怡康新寓 ,61.2,208.0,33987.0
3室2厅,美林东苑 ,141.04,415.0,29425.0
2室2厅,香缇丽舍 ,93.67,308.0,32882.0
4室2厅,瀛洲湾 ,145.92,325.0,22273.0
4室2厅,鼓楼街5号 ,143.87,576.0,40037.0
2室2厅,美达浅草明苑 ,90.59,305.0,33669.0
3室2厅,银城聚锦园 ,85.96,599.0,69684.0
2室1厅,力联大厦 ,97.61,340.0,34833.0
2室1厅,玉塘村南 ,56.03,163.0,29092.0
3室1厅,翠屏湾花园城 ,79.74,200.0,25082.0
2室1厅,清凉门小区 ,47.68,250.0,52433.0
2室1厅,沿河三村 ,56.92,155.0,27232.0
2室1厅,台园 ,63.69,162.0,25436.0
2室1厅,金碧花园 ,75.37,185.0,24546.0
2室1厅,澄园 ,77.92,275.0,35293.0
2室2厅,亚都天元居 ,87.65,265.0,30234.0
2室2厅,左邻右里 ,86.75,285.0,32854.0
2室2厅,白鹭东苑 ,91.75,260.0,28338.0
2室1厅,港龙园 ,65.31,205.0,31389.0
3室2厅,明发滨江新城三期 ,89.49,220.0,24584.0
2室1厅,高虹苑 ,61.37,178.0,29005.0
3室2厅,明发滨江新城三期 ,89.49,220.0,24584.0
3室1厅,紫萝苑 ,78.3,195.0,24905.0
3室2厅,明城华贵园 ,133.18,428.0,32137.0
3室1厅,板仓街78号 ,77.01,223.0,28958.0
3室2厅,思园 ,111.85,365.0,32633.0
2室1厅,华保新寓 ,51.62,205.0,39714.0
4室1厅,凤凰花园城静幽园 ,136.76,520.0,38023.0
2室1厅,东郊小镇第四街区 ,38.06,110.0,28902.0
1室1厅,华保新寓 ,42.74,165.0,38606.0
2室1厅,豆腐坊 ,49.19,150.0,30495.0
3室2厅,江岸水城 ,117.33,213.0,18154.0
2室1厅,阳光广场 ,92.14,318.0,34513.0
2室2厅,赛世香樟园 ,90.91,285.0,31350.0
2室1厅,金粟庵路 ,48.33,145.0,30003.0
3室2厅,苏建艳阳居 ,121.26,440.0,36286.0
3室1厅,长虹路后街 ,66.73,186.0,27874.0
1室2厅,世茂滨江新城 ,98.3,340.0,34588.0
3室1厅,水关桥 ,86.0,190.0,22094.0
2室1厅,板仓街49号 ,63.76,180.0,28231.0
2室2厅,万达西地一期 ,80.82,362.0,44791.0
2室2厅,丹佛小镇 ,66.89,180.0,26910.0
3室2厅,海润枫景家园 ,101.62,185.0,18206.0
4室2厅,梅花山庄园中苑 ,156.37,580.0,37092.0
3室2厅,天华绿谷庄园 ,90.59,190.0,20974.0
2室1厅,东井村3号 ,57.5,162.0,28174.0
2室2厅,天地新城天玑座 ,85.52,225.0,26310.0
3室2厅,德基紫金南苑 ,114.02,438.0,38415.0
2室1厅,营苑西村 ,47.59,110.0,23115.0
2室2厅,天润城第五街区 ,90.07,193.0,21428.0
3室1厅,紫藤苑 ,88.47,218.0,24642.0
3室2厅,天悦花园 ,102.05,270.0,26458.0
2室1厅,营苑西村 ,47.59,110.0,23115.0
2室2厅,天地新城天玑座 ,85.52,225.0,26310.0
3室1厅,华阳佳园华彩苑 ,88.33,330.0,37360.0
3室2厅,红森公寓 ,104.57,320.0,30602.0
3室1厅,樱驼花园永康园 ,69.95,190.0,27163.0
3室2厅,兴元嘉园 ,110.35,535.0,48483.0
2室2厅,南方花园A组团 ,76.41,193.0,25259.0
3室2厅,时光澔韵 ,125.0,437.5,35000.0
2室1厅,小杨村小区 ,58.36,180.0,30844.0
2室2厅,明月港湾翠堤湾 ,83.51,216.0,25866.0
3室2厅,良城美景家园 ,99.77,299.0,29969.0
2室1厅,凤虹苑 ,49.91,150.0,30055.0
3室2厅,瀛洲湾 ,146.97,320.0,21774.0
3室2厅,仁恒翠竹园 ,130.93,530.0,40480.0
3室2厅,东山步行街 ,90.04,255.0,28321.0
2室2厅,邮政世纪花园 ,74.91,470.0,62742.0
3室2厅,天都芳庭 ,133.54,410.0,30703.0
5室2厅,枫情国度尚园 ,154.48,425.0,27512.0
7室2厅,秦淮绿洲 ,203.48,708.0,34795.0
3室2厅,良城美景家园 ,100.16,325.0,32449.0
2室2厅,水月秦淮 ,95.33,265.0,27799.0
2室1厅,燕禾园 ,81.67,225.0,27550.0
2室1厅,良城美景家园 ,88.15,305.0,34601.0
4室2厅,万科光明城市东苑 ,166.01,780.0,46986.0
3室2厅,威尼斯水城第一街区 ,107.22,245.0,22851.0
2室2厅,阅城国际花园悠然园 ,91.72,378.0,41213.0
2室2厅,凯悦天琴花园 ,112.27,460.0,40973.0
3室2厅,合班村122号 ,106.59,270.0,25331.0
4室2厅,漫城名苑 ,153.72,640.0,41635.0
3室1厅,珠江路 ,87.19,255.0,29247.0
2室1厅,莫愁花园海棠里 ,49.07,170.0,34645.0
2室2厅,德基紫金南苑 ,90.33,346.0,38304.0
2室2厅,万达西地一期 ,80.86,345.0,42667.0
5室2厅,凤凰西街227号 ,82.71,270.0,32645.0
2室1厅,转龙巷 ,67.86,205.0,30210.0
3室1厅,朝天宫西街98号 ,66.09,215.0,32532.0
3室2厅,凯悦天琴花园 ,134.85,588.0,43605.0
2室2厅,金地苑 ,67.1,215.0,32042.0
3室2厅,时代雅居 ,98.93,240.0,24260.0
2室2厅,翠屏湾花园城 ,82.48,190.0,23036.0
4室2厅,文化名园腾龙阁 ,167.06,460.0,27536.0
3室2厅,水月秦淮 ,133.59,288.0,21559.0
3室1厅,月光广场 ,108.06,380.0,35166.0
3室2厅,湖滨世纪花园 ,116.68,268.0,22969.0
3室2厅,市政天元城 ,125.31,330.0,26335.0
3室2厅,翠屏东南 ,124.72,330.0,26460.0
2室2厅,大邦紫云阁 ,91.61,320.0,34931.0
2室1厅,省电力公司宿舍 ,52.65,128.0,24312.0
3室2厅,陶谷新村 ,92.52,315.0,34047.0
3室1厅,康居里 ,70.42,215.0,30532.0
3室2厅,云河湾 ,125.34,508.0,40530.0
2室2厅,黄埔鑫园 ,98.73,360.0,36464.0
2室1厅,成贤街 ,58.71,298.0,50758.0
3室1厅,七里街20号 ,69.51,219.0,31507.0
3室2厅,金陵世纪花园 ,96.02,576.0,59988.0
2室1厅,张公桥小区 ,67.08,223.0,33244.0
2室1厅,东郊小镇第六街区 ,80.38,175.0,21772.0
2室1厅,黄鹂新村 ,50.41,160.0,31740.0
2室2厅,豆菜桥小区 ,56.95,158.0,27744.0
2室2厅,墨香山庄 ,105.05,305.0,29034.0
2室2厅,江岸水城 ,100.06,188.0,18789.0
3室2厅,盈家春天 ,88.47,220.0,24868.0
2室1厅,天润城第三街区 ,93.22,178.0,19095.0
2室2厅,锦绣花园丹桂园 ,90.92,183.0,20128.0
4室2厅,虹苑新寓四村 ,104.52,320.0,30617.0
2室2厅,锦绣花园丹桂园 ,86.5,178.0,20579.0
2室2厅,天润城第七街区 ,86.45,178.0,20590.0
2室2厅,南农大小区 ,66.98,255.0,38072.0
2室2厅,南方花园枫彩园 ,101.19,268.0,26485.0
2室2厅,黄埔鑫园 ,98.73,360.0,36464.0
2室1厅,成贤街 ,58.71,298.0,50758.0
2室2厅,江岸水城 ,99.05,200.0,20192.0
2室2厅,天鹅湖花园 ,79.23,216.0,27263.0
4室2厅,天地新城天玑座 ,85.55,235.0,27470.0
3室2厅,翠屏国际水杉苑 ,149.19,360.0,24131.0
3室1厅,石婆婆巷 ,60.13,188.0,31266.0
2室2厅,宋都奥体名座 ,77.0,320.0,41559.0
2室1厅,沿河二村 ,44.73,129.0,28840.0
3室1厅,鸿都大厦 ,125.91,530.0,42094.0
2室2厅,锦绣花园丹桂园 ,86.5,180.0,20810.0
1室1厅,天悦花园 ,48.38,140.0,28938.0
3室2厅,托乐嘉睦邻居 ,123.8,365.0,29484.0
3室2厅,天润城第十四街区 ,86.49,199.9,23113.0
3室2厅,诚品城 ,98.84,240.0,24282.0
3室1厅,瑞金新村 ,63.06,230.0,36474.0
1室1厅,积善新寓丰勤园 ,52.77,185.0,35058.0
2室1厅,卫岗西6号 ,51.05,155.0,30363.0
2室1厅,天润城第十二街区 ,78.78,170.0,21580.0
2室1厅,锦绣花园金桂园 ,70.74,158.0,22336.0
3室1厅,大光路50号 ,68.01,192.0,28232.0
3室2厅,江南青年城绯云苑 ,131.33,230.0,17514.0
